question_name,tag1,tag2,tag3
替换后的最长重复字符,哈希表,字符串,滑动窗口
单词方块,字典树,数组,字符串
全 O(1) 的数据结构,设计,哈希表,链表
最小基因变化,广度优先搜索,哈希表,字符串
字符串中的单词数,字符串,None,None
无重叠区间,贪心,数组,动态规划
寻找右区间,数组,二分查找,排序
路径总和 III,树,深度优先搜索,二叉树
找到字符串中所有字母异位词,哈希表,字符串,滑动窗口
三元表达式解析器,栈,递归,字符串
字典序的第K小数字,字典树,None,None
排列硬币,数学,二分查找,None
数组中重复的数据,数组,哈希表,None
压缩字符串,双指针,字符串,None
序列重建,图,拓扑排序,数组
两数相加 II,栈,链表,数学
等差数列划分 II - 子序列,数组,动态规划,None
回旋镖的数量,数组,哈希表,数学
找到所有数组中消失的数字,数组,哈希表,None
序列化和反序列化二叉搜索树,树,深度优先搜索,广度优先搜索
删除二叉搜索树中的节点,树,二叉搜索树,二叉树
根据字符出现频率排序,哈希表,字符串,桶排序
用最少数量的箭引爆气球,贪心,数组,排序
最小操作次数使数组元素相等,数组,数学,None
四数相加 II,数组,哈希表,None
分发饼干,贪心,数组,双指针
132 模式,栈,数组,二分查找
环形数组是否存在循环,数组,哈希表,双指针
可怜的小猪,数学,动态规划,组合数学
重复的子字符串,字符串,字符串匹配,None
LFU 缓存,设计,哈希表,链表
汉明距离,位运算,None,None
最小操作次数使数组元素相等 II,数组,数学,排序
岛屿的周长,深度优先搜索,广度优先搜索,数组
我能赢吗,位运算,记忆化搜索,数学
最优账单平衡,位运算,数组,动态规划
统计重复个数,字符串,动态规划,None
环绕字符串中唯一的子字符串,字符串,动态规划,None
验证IP地址,字符串,None,None
凸多边形,几何,数学,None
编码最短长度的字符串,字符串,动态规划,None
连接词,深度优先搜索,字典树,数组
火柴拼正方形,位运算,数组,动态规划
一和零,数组,字符串,动态规划
供暖器,数组,双指针,二分查找
数字的补数,位运算,None,None
汉明距离总和,位运算,数组,数学
最大回文数乘积,数学,None,None
滑动窗口中位数,数组,哈希表,滑动窗口
神奇字符串,双指针,字符串,None
密钥格式化,字符串,None,None
最小好进制,数学,二分查找,None
寻找排列,栈,贪心,数组
最大连续 1 的个数,数组,None,None
预测赢家,递归,数组,数学
最大连续1的个数 II,数组,动态规划,滑动窗口
祖玛游戏,栈,广度优先搜索,记忆化搜索
第 K 条最小指令,数组,数学,动态规划
迷宫,深度优先搜索,广度优先搜索,数组
非递减子序列,位运算,数组,哈希表
构造矩形,数学,None,None
翻转对,树状数组,线段树,数组
目标和,数组,动态规划,回溯
提莫攻击,数组,模拟,None
下一个更大元素 I,栈,数组,哈希表
对角线遍历,数组,矩阵,模拟
迷宫 III,深度优先搜索,广度优先搜索,图
键盘行,数组,哈希表,字符串
二叉搜索树中的众数,树,深度优先搜索,二叉搜索树
IPO,贪心,数组,排序
下一个更大元素 II,栈,数组,单调栈
七进制数,数学,None,None
迷宫 II,深度优先搜索,广度优先搜索,图
相对名次,数组,排序,堆（优先队列）
完美数,数学,None,None
出现次数最多的子树元素和,树,深度优先搜索,哈希表
二叉搜索树中的中序后继 II,树,二叉搜索树,二叉树
1 比 0 多的子数组个数,树状数组,线段树,数组
从始点到终点的所有路径,深度优先搜索,图,None
最大交替子数组和,数组,动态规划,None
找树左下角的值,树,深度优先搜索,广度优先搜索
自由之路,深度优先搜索,广度优先搜索,字符串
在每个树行中找最大值,树,深度优先搜索,广度优先搜索
最长回文子序列,字符串,动态规划,None
超级洗衣机,贪心,数组,None
零钱兑换 II,数组,动态规划,None
范围和相等的最宽索引对,数组,哈希表,前缀和
检测大写字母,字符串,None,None
最长特殊序列 Ⅰ,字符串,None,None
最长特殊序列 II,数组,哈希表,双指针
连续的子数组和,数组,哈希表,数学
通过删除字母匹配到字典里最长单词,数组,双指针,字符串
连续数组,数组,哈希表,前缀和
优美的排列,位运算,数组,动态规划
单词缩写,贪心,字典树,数组
交换链表中的节点,链表,双指针,None
扫雷游戏,深度优先搜索,广度优先搜索,数组
二叉搜索树的最小绝对差,树,深度优先搜索,广度优先搜索
孤独像素 I,数组,哈希表,矩阵
数组中的 k-diff 数对,数组,哈希表,双指针
孤独像素 II,数组,哈希表,矩阵
TinyURL 的加密与解密,设计,哈希表,字符串
从字符串生成二叉树,树,深度优先搜索,字符串
复数乘法,数学,字符串,模拟
把二叉搜索树转换为累加树,树,深度优先搜索,二叉搜索树
最小时间差,数组,数学,字符串
有序数组中的单一元素,数组,二分查找,None
反转字符串 II,双指针,字符串,None
01 矩阵,广度优先搜索,数组,动态规划
二叉树的直径,树,深度优先搜索,二叉树
输出比赛匹配对,递归,字符串,模拟
二叉树的边界,树,深度优先搜索,二叉树
移除盒子,记忆化搜索,数组,动态规划
省份数量,深度优先搜索,广度优先搜索,并查集
将数组分割成和相等的子数组,数组,哈希表,前缀和
二叉树最长连续序列 II,树,深度优先搜索,二叉树
获取食物的最短路径,广度优先搜索,数组,矩阵
学生出勤记录 I,字符串,None,None
学生出勤记录 II,动态规划,None,None
最优除法,数组,数学,动态规划
砖墙,数组,哈希表,None
分割连接字符串,贪心,数组,字符串
下一个更大元素 III,数学,双指针,字符串
反转字符串中的单词 III,双指针,字符串,None
